init_date,valid_date,lead_hours,region,forecast_precip_mm,forecast_temp_c
2023-09-09,2023-09-12,72,Maharashtra,1.0552884340286255,23.056085205078148
2023-09-10,2023-09-13,72,Maharashtra,0.7787004709243774,22.900231933593773
2023-09-11,2023-09-14,72,Maharashtra,1.9029719829559326,22.907586669921898
2023-09-12,2023-09-15,72,Maharashtra,1.1813082695007324,22.671685791015648
2023-09-13,2023-09-16,72,Maharashtra,3.4718823432922363,22.567407226562523
2023-09-14,2023-09-17,72,Maharashtra,1.3350087404251099,22.018640136718773
2023-09-15,2023-09-18,72,Maharashtra,0.7526952028274536,22.302117919921898
2023-09-16,2023-09-19,72,Maharashtra,0.49832460284233093,23.078576660156273
2023-09-17,2023-09-20,72,Maharashtra,0.47931236028671265,23.479913330078148
2023-09-18,2023-09-21,72,Maharashtra,2.803467273712158,23.360498046875023
2023-09-19,2023-09-22,72,Maharashtra,4.62725830078125,23.234033203125023
2023-09-20,2023-09-23,72,Maharashtra,0.9696969985961914,22.797723388671898
2023-09-21,2023-09-24,72,Maharashtra,1.0257139205932617,22.579248046875023
2023-09-22,2023-09-25,72,Maharashtra,0.8326048851013184,22.799584960937523
2023-09-23,2023-09-26,72,Maharashtra,0.9565122127532959,22.740472412109398
2023-09-24,2023-09-27,72,Maharashtra,1.2469406127929688,23.270867919921898
2023-09-25,2023-09-28,72,Maharashtra,1.6345425844192505,23.657617187500023
2023-09-26,2023-09-29,72,Maharashtra,1.7009761333465576,23.666528320312523
2023-09-27,2023-09-30,72,Maharashtra,1.719041347503662,23.667108154296898
2023-09-28,2023-10-01,72,Maharashtra,2.283289670944214,23.502740478515648
2023-09-29,2023-10-02,72,Maharashtra,0.48878204822540283,23.233239746093773
2023-09-30,2023-10-03,72,Maharashtra,0.005026223603636026,22.011529541015648
